User ID;Purchase;Homepage;Categories;ProductPage;Onsales;Search;Basket;Others;Sum
U00013790;0;4;9;12;2;1;2;0;30
U00013868;0;4;2;8;2;0;0;0;16
U00013913;0;11;7;76;1;2;5;0;102
U00013933;0;7;3;30;1;2;0;1;44
U00014229;1;7;6;14;1;1;2;0;31
U00014318;1;14;3;54;0;3;4;1;79
U00014737;0;5;5;11;2;1;1;0;25
U00014817;0;3;4;9;0;1;1;0;18
U00014950;1;4;3;5;2;1;0;0;15
U00015194;1;12;3;36;1;11;9;3;75
U00015252;1;11;7;55;2;3;3;1;82
U00015294;0;4;1;19;0;7;3;1;35
U00015403;1;4;2;17;1;5;3;1;33
U00015420;0;4;4;8;1;1;1;0;19
U00015698;1;5;6;10;0;2;2;1;26
U00015720;0;4;4;10;2;1;1;0;22
U00015883;1;3;2;6;2;0;1;0;14
U00015907;1;3;1;5;2;0;1;0;12
U00015935;1;8;2;27;1;8;5;1;52
U00015952;1;3;3;9;0;1;1;1;18
U00016141;1;4;4;8;1;1;1;0;19
U00016338;0;16;4;17;8;1;2;0;48
U00016470;0;5;1;5;2;0;0;0;13
U00016477;0;8;4;40;1;1;2;0;56
U00016616;1;8;3;39;1;1;3;1;56
U00016692;0;5;2;6;2;0;0;0;15
U00016900;1;6;6;11;1;0;1;0;25
U00017098;0;7;4;38;1;11;7;1;69
U00017148;1;5;1;22;1;7;4;0;40
U00017233;0;4;1;5;2;1;0;1;14
U00017307;1;9;3;36;0;2;3;0;53
U00017308;0;3;5;8;1;0;1;0;18
U00017368;1;12;11;21;1;2;4;0;51
U00017393;0;2;2;5;2;0;1;0;12
U00017416;1;4;0;15;0;5;3;0;27
U00017562;1;9;5;37;0;1;2;0;54
U00017734;0;3;4;3;1;0;0;0;11
U00017863;0;4;2;5;2;0;0;0;13
U00017937;1;8;0;27;2;7;6;2;52
U00017970;1;6;8;19;2;1;2;0;38
U00018206;1;5;3;8;3;0;0;0;19
U00018295;1;5;5;12;1;1;2;1;27
U00018342;1;11;7;62;1;1;5;1;88
U00018377;1;4;3;8;1;1;1;0;18
U00018500;1;4;0;20;1;6;4;0;35
U00018507;1;4;6;14;1;1;2;0;28
U00018550;0;6;2;10;4;0;0;0;22
U00018662;1;8;10;16;2;1;2;1;40
U00019052;1;9;0;33;0;7;7;3;59
U00019075;0;14;4;46;0;16;10;2;92
U00019215;1;4;0;17;1;6;3;1;32
U00019473;0;3;1;5;2;0;0;0;11
U00019502;0;4;3;10;1;1;1;1;21
U00019571;1;5;0;16;1;5;3;1;31
U00019605;1;8;5;35;1;1;2;0;52
U00019758;0;8;3;9;4;0;0;0;24
U00019843;0;4;2;9;1;0;1;0;17
U00019865;0;9;9;23;1;1;4;0;47
U00019942;0;5;5;10;1;0;1;0;22
U00019950;1;17;1;57;0;17;10;1;103
U00020079;1;6;0;19;0;6;4;1;36
U00020149;1;5;4;6;3;0;1;0;19
U00020182;0;3;4;8;1;1;1;0;18
U00020203;0;5;3;8;3;2;0;0;21
U00020315;1;5;5;11;1;1;1;0;24
U00020352;0;4;3;7;1;1;1;1;18
U00020418;1;5;5;15;1;1;2;1;30
U00020429;0;7;0;25;0;8;4;1;45
U00020436;1;5;4;12;1;1;1;0;24
U00020570;1;18;10;64;1;3;7;2;105
U00020574;0;3;2;7;0;1;1;1;15
U00020605;1;6;1;21;1;7;5;0;41
U00020688;0;8;0;28;0;8;4;0;48
U00020690;0;8;6;16;1;1;3;0;35
U00020806;0;11;9;45;1;1;3;2;72
U00021136;1;4;2;11;4;0;1;0;22
U00021368;1;5;0;17;0;5;3;1;31
